Libelle_Departement,Libelle_Commune,Nombre_Etablissements,Population_Totale,Ratio_100k
ALLIER,03250 FERRIERES SUR SICHON,1,519,192.68
ALLIER,03800 GANNAT,10,5874,170.24
ALLIER,03340 GOUISE,1,223,448.43
ALLIER,03190 HAUT BOCAGE,1,864,115.74
ALLIER,03190 HERISSON,1,577,173.31
ALLIER,03380 HURIEL,2,2614,76.51
ALLIER,03220 JALIGNY SUR BESBRE,2,565,353.98
ALLIER,03380 LA CHAPELAUDE,1,953,104.93
ALLIER,03120 LAPALISSE,8,3193,250.55
ALLIER,03100 LAVAULT STE ANNE,3,1153,260.19
ALLIER,03130 LE DONJON,6,1025,585.37
ALLIER,03250 LE MAYET DE MONTAGNE,6,1476,406.5
ALLIER,03240 LE MONTET,3,472,635.59
ALLIER,03200 LE VERNET,2,1964,101.83
ALLIER,03320 LE VEURDRE,1,481,207.9
ALLIER,03320 LURCY LEVIS,4,1888,211.86
ALLIER,03230 LUSIGNY,2,1684,118.76
ALLIER,03600 MALICORNE,2,784,255.1
ALLIER,03420 MARCILLAT EN COMBRAILLE,4,932,429.18
ALLIER,03360 MEAULNE VITRAY,1,919,108.81
ALLIER,03510 MOLINET,1,1142,87.57
ALLIER,03500 MONETAY SUR ALLIER,1,551,181.49
ALLIER,03100 MONTLUCON,96,34343,279.53
ALLIER,03390 MONTMARAULT,4,1537,260.25
ALLIER,03150 MONTOLDRE,1,609,164.2
ALLIER,03170 MONTVICQ,1,721,138.7
ALLIER,03000 MOULINS,92,19890,462.54
ALLIER,03450 NADES,1,160,625.0
ALLIER,03310 NERIS LES BAINS,7,2515,278.33
ALLIER,03340 NEUILLY LE REAL,2,1467,136.33
ALLIER,03210 NOYANT D ALLIER,2,608,328.95
ALLIER,03320 POUZY MESANGY,1,387,258.4
ALLIER,03410 PREMILHAT,5,2562,195.16
ALLIER,03170 ST ANGEL,2,786,254.45
ALLIER,03360 ST BONNET TRONCAIS,2,746,268.1
ALLIER,03150 ST GERAND LE PUY,4,974,410.68
ALLIER,03260 ST GERMAIN DES FOSSES,4,3651,109.56
ALLIER,03440 ST HILAIRE,3,517,580.27
ALLIER,03380 ST MARTINIEN,2,602,332.23
ALLIER,42620 ST PIERRE LAVAL,1,375,266.67
ALLIER,03500 ST POURCAIN SUR SIOULE,18,5026,358.14
ALLIER,03110 ST REMY EN ROLLAT,1,1796,55.68
ALLIER,03410 ST VICTOR,1,2128,46.99
ALLIER,03270 ST YORRE,4,2667,149.98
ALLIER,03210 SOUVIGNY,2,1768,113.12
ALLIER,03400 TOULON SUR ALLIER,1,1188,84.18
ALLIER,03240 TREBAN,1,382,261.78
ALLIER,03460 TREVOL,3,1688,177.73
ALLIER,03240 TRONGET,2,901,221.98
ALLIER,03360 VALIGNY,1,381,262.47
ALLIER,03190 VALLON EN SULLY,3,1496,200.53
ALLIER,03150 VARENNES SUR ALLIER,11,3642,302.03
ALLIER,03110 VENDAT,2,2336,85.62
ALLIER,03190 VERNEIX,1,588,170.07
ALLIER,03200 VICHY,75,26017,288.27
ALLIER,03430 VILLEFRANCHE D ALLIER,2,1304,153.37
ALLIER,03460 VILLENEUVE SUR ALLIER,2,1055,189.57
ALLIER,03370 VIPLAIX,1,300,333.33
ALLIER,03400 YZEURE,33,13216,249.7
ALPES DE HAUTE PROVENCE,04510 AIGLUN,4,1430,279.72
ALPES DE HAUTE PROVENCE,04260 ALLOS,2,823,243.01
ALPES DE HAUTE PROVENCE,04240 ANNOT,2,1042,191.94
ALPES DE HAUTE PROVENCE,04200 AUBIGNOSC,1,639,156.49
ALPES DE HAUTE PROVENCE,04150 BANON,4,1091,366.64
ALPES DE HAUTE PROVENCE,04400 BARCELONNETTE,11,2701,407.26
ALPES DE HAUTE PROVENCE,04380 BARRAS,1,146,684.93
ALPES DE HAUTE PROVENCE,04330 BARREME,2,408,490.2
ALPES DE HAUTE PROVENCE,04370 BEAUVEZER,1,399,250.63
ALPES DE HAUTE PROVENCE,04120 CASTELLANE,6,1494,401.61
ALPES DE HAUTE PROVENCE,04280 CERESTE,3,1219,246.1
ALPES DE HAUTE PROVENCE,04660 CHAMPTERCIER,3,805,372.67
ALPES DE HAUTE PROVENCE,04160 CHATEAU ARNOUX ST AUBAN,17,5218,325.8
ALPES DE HAUTE PROVENCE,04370 COLMARS LES ALPES,1,556,179.86
ALPES DE HAUTE PROVENCE,04000 DIGNE LES BAINS,73,18547,393.59
